Type,URL,Status,Result,Note
API,https://ac.search.naver.com/nx/ac?q=qa&con=0&ans=2&r_format=json,200,PASS,데이터 수신 성공
UI,https://help.naver.com/alias/search/word/word_35.naver,200,PASS,-
UI,https://help.naver.com/alias/search/word/word_35.naver,200,PASS,-
UI,https://help.naver.com/service/5627/contents/9145?lang=ko&osType=COMMONOS,200,PASS,-
UI,https://help.naver.com/support/alias/search/word/word_35.naver,200,PASS,-
UI,https://help.naver.com/alias/search/word/word_16.naver,200,PASS,-
UI,https://help.naver.com/alias/search/word/word_16.naver,200,PASS,-
UI,https://help.naver.com/alias/search/word/word_16.naver,200,PASS,-
UI,https://nid.naver.com/nidlogin.login,200,PASS,-
UI,https://help.naver.com/alias/search/word/word_17.naver,200,PASS,-
UI,https://help.naver.com/alias/search/word/word_18.naver,200,PASS,-
UI,https://siape.veta.naver.com/fxclick?eu=EU10044129&calp=-&oj=ZJlEFeSBKmLf40n3ktJ9%2FOnvyYCAQuFkne%2FXTLj3ICybTCKAv6zHzWx%2FhcG054wn1jc88c6LqLEaaAIiyne88yGNcbrnFmKn&ac=9262076&src=8037906&br=4910253&evtcd=P901&x_ti=1587&tb=&oid=&sid1=&sid2=&rk=IzUD4HDlsGvBHutYa6I29A&eltts=MBsUbkmtJcJ4XeXVkkL15g%3D%3D&brs=Y&&a=226F77CDF2FB4410C3E2FE28E15AAC78582BBE15030C39AF777A1B02969DFF857715031D05F0FA626884AC634E456751907364F4723E2DB07C42F823551165622933A35953DE7D7EDD9725A4F412FF8F60394B52A3C1A72601E0C054D1F0241300C5A9217FA1F093F65D44A2DA84F031704ADDC72353118D72D4ACA17B779EDC80EF6E33622F1EBBE8CBAC07B7E1706C88479E76C1C4F6B99C1CD09A4A6760C3EFC032FD6EC67FAC7E6558BFABA4D067E4E7FAFE6EB0ED100199CDEEE6E8BD9DC29D5F0C05DE8CB0456BE9B84359CA6E7BF214DDD1A936644C858A7454BCD9CE61D7AC45871D792FA0AD3BD182694AA723AB2AC0E0F17A053699B75757357FBC4A17C401D35DDEBE,200,PASS,-
UI,https://mail.naver.com,200,PASS,-
UI,https://cafe.naver.com,200,PASS,-
UI,https://blog.naver.com,200,PASS,-
UI,https://shopping.naver.com/ns/home,200,PASS,-
UI,https://news.naver.com/,200,PASS,-
UI,https://finance.naver.com/,200,PASS,-
UI,https://land.naver.com/,200,PASS,-
UI,https://map.naver.com,200,PASS,-
UI,https://comic.naver.com,200,PASS,-
UI,https://chzzk.naver.com/?tracking_code=home_recommend,200,PASS,-
UI,https://pay.naver.com,200,PASS,-
UI,https://shopping.naver.com/cart,200,PASS,-
UI,https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y,200,PASS,-
UI,https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0015980506,200,PASS,-
UI,https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0015980520,200,PASS,-
UI,https://newsstand.naver.com/,200,PASS,-
UI,https://news.naver.com/,200,PASS,-
UI,https://m.naver.com/mysubs?mode=pc,200,PASS,-
UI,https://in.naver.com/ru8405/contents/internal/932122397804416,200,PASS,-
UI,https://in.naver.com/1004/contents/internal/933998383778080,200,PASS,-
UI,https://tv.naver.com/h/96067333,200,PASS,-
UI,https://in.naver.com/sukkitchen/contents/internal/933760798366048,200,PASS,-
UI,https://in.naver.com/mongglee_kitchen/contents/internal/934134831864032,200,PASS,-
UI,https://in.naver.com/sulsoomom1618/contents/internal/932132820788928,200,PASS,-
UI,https://m.naver.com/shorts?serviceType=CLIP&mediaType=VOD&seedMediaId=406FF745CFDFCAC0160E9B36E12D4A0B49CA&recType=CLIP_PC&recId=%7B%22targetProfileId%22%3A%22cafereelshome%22%2C%22open%22%3Atrue%7D,200,PASS,-
UI,https://in.naver.com/maronhouse/contents/internal/932584105695040,200,PASS,-
UI,https://cafe.naver.com/dieselmania/46883051?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1haXJz.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiYXJ0aWNsZUlkIjo0Njg4MzA1MSwiY2FmZVVybCI6ImRpZXNlbG1hbmlhIiwiaXNzdWVkQXQiOjE3NzQ0MDkwNDgzMjN9.8tQbz6vznOIPW1tsaJ6Kw6TDc6pf3mcCv3QJhYfDfzQ,200,PASS,-
UI,https://in.naver.com/byul/contents/internal/933170854856544,200,PASS,-
UI,https://in.naver.com/sukm83/contents/internal/933815636981440,200,PASS,-
UI,https://in.naver.com/won2822/contents/internal/933736069183776,200,PASS,-
UI,https://happybean.naver.com/,200,PASS,-
UI,https://happybean.naver.com/fundings/detail/F2484?p=p&s=nmlp,200,PASS,-
UI,https://happybean.naver.com/fundings/detail/F2505?p=p&s=nmlp,200,PASS,-
UI,https://happybean.naver.com/fundings/detail/F2508?p=p&s=nmlp,200,PASS,-
UI,https://happybean.naver.com/fundings/detail/F2483?p=p&s=nmlp,200,PASS,-
UI,https://nid.naver.com/nidlogin.login?mode=form&url=https://www.naver.com/,200,PASS,-
UI,https://nid.naver.com/user2/api/route?m=routeIdInquiry,200,PASS,-
UI,https://nid.naver.com/user2/api/route?m=routePwInquiry,200,PASS,-
UI,https://nid.naver.com/nidregister.form?url=https%3A%2F%2Fwww.naver.com,200,PASS,-
UI,https://weather.naver.com/,200,PASS,-
UI,https://weather.naver.com/compare/09530102,200,PASS,-
UI,https://weather.naver.com/today/09530102?cpName=KMA,200,PASS,-
UI,https://weather.naver.com/air/09530102?cpName=KMA,200,PASS,-
UI,https://weather.naver.com/today/09530102?cpName=KMA,200,PASS,-
UI,https://finance.naver.com/,200,PASS,-
UI,https://finance.naver.com/sise/sise_index.nhn?code=KOSPI,200,PASS,-
UI,https://finance.naver.com/sise/sise_index.nhn?code=KOSDAQ,200,PASS,-
UI,https://finance.naver.com/item/main.naver?code=005930,200,PASS,-
UI,https://finance.naver.com/item/main.naver?code=000660,200,PASS,-
UI,https://finance.naver.com/item/main.naver?code=263750,200,PASS,-
UI,https://finance.naver.com/sise/lastsearch2.naver,200,PASS,-
UI,https://nid.naver.com/nidlogin.login?mode=form&url=https://www.naver.com/?to=widget,200,PASS,-
UI,https://nid.naver.com/nidlogin.login?mode=form&url=https://www.naver.com/?to=widget,200,PASS,-
UI,https://vibe.naver.com/audio_player?curationId=1165&contentId=CH_315_EP_1075&audioContentId=CH_315_EP_1075,200,PASS,-
UI,https://vibe.naver.com/audio_player?curationId=1165&contentId=CH_315_EP_990&audioContentId=CH_315_EP_990,200,PASS,-
UI,https://vibe.naver.com/audio_player?curationId=1165&contentId=CH_315_EP_1037&audioContentId=CH_315_EP_1037,200,PASS,-
UI,https://en.dict.naver.com/#/mini/main,200,PASS,-
UI,https://learn.dict.naver.com/m/endic/today/conversation.dict,200,PASS,-
